freq,mode,label,lo,hi
1625.00,USB,,0.30,2.70
2653.00,USB,,0.30,2.70
2737.00,USB,,0.30,2.70
3218.50,USB,Katok-65,0.30,2.70
3305.00,USB,,0.30,2.70
3310.00,USB,,0.30,2.70
3325.00,USB,,0.30,2.70
3516.00,USB,,0.30,2.70
3510.00,USB,Air Horn,0.30,2.70
3664.00,LSB,,0.30,2.70
3668.00,USB,,0.30,2.70
3672.00,USB,,0.30,2.70
3756.00,USB,The Pip,0.30,2.70
3809.00,USB,,0.30,2.70
3828.00,USB,Squeaky Wheel,0.30,2.70
3850.00,USB,Baron-78,0.30,2.70
3860.00,USB,,0.30,2.70
3891.50,USB,,0.30,2.70
3920.00,USB,,0.30,2.70
4015.00,USB,,0.30,2.70
4034.00,USB,,0.30,2.70
4101.50,USB,,0.30,2.70
4120.00,USB,,0.30,2.70
4179.00,USB,,0.30,2.70
4182.00,USB,T marker,0.30,2.70
4183.00,USB,,0.30,2.70
4220.00,USB,,0.30,2.70
4224.00,USB,Katok-65,0.30,2.70
4310.00,USB,Goose,0.30,2.70
4346.00,USB,,0.30,2.70
4525.00,USB,,0.30,2.70
4570.00,USB,,0.30,2.70
4575.00,USB,,0.30,2.70
4600.00,USB,POT RUS,0.30,2.70
4615.00,USB,,0.30,2.70
4625.00,USB,Buzzer,0.30,2.70
4629.00,USB,,0.30,2.70
4649.50,USB,,0.30,2.70
4750.00,USB,Soldier's Document Night-2,0.30,2.70
4770.50,USB,Alarm,0.30,2.70
4813.00,USB,,0.30,2.70
4940.00,USB,Baron-78,0.30,2.70
5125.00,USB,Buran-15 Ground based,0.30,2.70
5292.00,USB,D marker,0.30,2.70
5372.00,USB,Vega,0.30,2.70
5448.00,USB,The Pip,0.30,2.70
5473.00,USB,Sqeaky Wheel,0.30,2.70
5617.00,USB,,0.30,2.70
5620.00,CW,[Morse] Russian Ground,-0.95,-0.55
5640.00,USB,,0.30,2.70
5715.00,USB,,0.30,2.70
5775.00,CW,[Morse] Russian Ground,-0.95,-0.55
5803.00,USB,,0.30,2.70
5827.00,USB,,0.30,2.70
5833.00,USB,Russian Air Force,0.30,2.70
5883.00,USB,,0.30,2.70
6342.00,USB,,0.30,2.71
6685.00,USB,Military Transport Aviation Primary,0.30,2.70
6822.00,USB,,0.30,2.70
7149.00,USB,Soldier's Document Day-2,0.30,2.70
7590.00,USB,,0.30,2.70
7816.00,USB,,0.30,2.70
7835.00,USB,,0.30,2.70
7933.00,USB,lompas/buran BTG,0.30,2.70
8016.00,CW,[Morse] Russian Navy,-0.95,-0.55
8029.00,CW,[Morse] Russian Ground,-0.95,-0.55
8033.00,USB,,0.30,2.70
8090.00,USB,Russian Air Force,0.30,2.70
8131.00,USB,LRA Bomber planes,0.30,2.70
8145.00,USB,,0.30,2.70
8170.00,CW,[Morse] Air,-0.95,-0.55
8183.00,USB,,0.30,2.70
8791.00,USB,,0.30,2.70
8816.00,CW,Russian Navy,-0.95,-0.55
8847.00,USB,Military Transport Aviation Secondary,0.30,2.70
8909.00,USB,,0.30,2.70
8939.00,USB,,0.30,2.70
9741.00,USB,,0.30,2.70
10057.00,USB,Soldier's Document Night-0,0.30,2.70
10460.00,USB,Russian Civilian chat,0.30,2.70
11223.00,USB,Russian Air Force,0.30,2.70
11318.00,USB,,0.30,2.70
11320.00,USB,,0.30,2.70
11360.00,USB,Military Transport Aviation,0.30,2.70
12041.00,USB,Soldier's Document Day-0,0.30,2.70
12905.00,USB,Soldier's Document Night-1,0.30,2.70
13619.00,USB,Soldier's Document Day-1,0.30,2.70
14133.36,USB,,0.30,2.70
18030.00,USB,Military Transport Aviation,0.30,2.70
21015.25,CW,[Morse],-0.95,-0.55
39425.00,USB,,0.30,2.70
44225.00,USB,,0.30,2.70
,-----,,,
,-----,,,

